,Station,rest_cat,Anole,Bear,Bird,Bobcat,Deer,Empty,FoxSquirrel,GraySquirrel,Hog,MarshRabbit,Opossum,Panther,Person,Racoon,Rodent,Turkey,Unidentified
1,GC_BM27Y1,reference,0,0,0,0,4,1381,0,0,0,0,0,0,15,0,0,0,0
2,GC_BM29Y1,reference,0,33,0,0,287,790,3,0,109,0,0,0,111,6,0,0,0
3,GC_BM48Y1,reference,0,0,0,0,0,3045,0,0,0,0,0,0,0,0,0,0,0
4,GC_FP69Y1,reference,12,53,0,0,32,1748,0,1,0,0,0,0,55,0,0,9,2
5,GC_FS142Y1,reference,0,0,1,0,32,91,0,2,0,0,0,0,24,7,0,0,10
6,GC_FS151Y1,reference,0,0,12,0,287,473,0,6,0,0,0,1,104,4,0,0,50
7,GC_FS181Y1,reference,0,0,0,0,65,61,0,0,0,0,0,0,3,0,0,0,1
8,GC_PS07Y1,unrestored,0,42,0,0,13,49,0,0,0,0,0,0,0,0,0,0,0
9,GC_PS0Y1,unrestored,0,0,1,0,0,312,0,0,0,0,0,0,0,0,0,0,0
10,GC_PS132Y1,partial_rest,7,0,0,0,183,895,0,0,0,1,0,0,25,0,0,0,2
11,GC_PS137Y1,partial_rest,0,0,0,0,0,338,0,0,0,0,0,0,15,0,0,6,0
12,GC_PS181Y1,restored,0,7,41,0,71,143,0,0,0,0,0,0,51,0,0,0,0
13,GC_PS195Y1,restored,0,0,0,2,82,187,0,0,0,0,0,0,0,0,0,0,3
14,GC_PS207Y1,restored,0,0,2,13,8,380,0,0,0,0,7,0,76,0,3,0,1
15,GC_PS208Y1,restored,0,0,0,0,14,51,0,0,0,0,0,0,18,0,0,0,2
16,GC_PS26Y1,unrestored,0,0,0,0,0,2624,0,0,0,0,0,0,15,0,0,0,0
17,GC_PS54Y1,restored,0,0,0,0,103,93,0,0,0,0,0,0,22,0,0,0,24
