,Station,rest_cat,Anole,Bear,Bird,Bobcat,Deer,FoxSquirrel,GraySquirrel,Hog,MarshRabbit,Opossum,Panther,Racoon,Rodent,Turkey,Unidentified,number_days,Empty
1,GC_BM27Y1,reference,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,1381
2,GC_BM29Y1,reference,0,33,0,0,287,3,0,109,0,0,0,6,0,0,0,50,790
3,GC_BM48Y1,reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3045
4,GC_FP69Y1,reference,12,53,0,0,32,0,1,0,0,0,0,0,0,9,2,30,1748
5,GC_FS142Y1,reference,0,0,1,0,32,0,2,0,0,0,0,7,0,0,10,48,91
6,GC_FS151Y1,reference,0,0,12,0,287,0,6,0,0,0,1,4,0,0,50,111,473
7,GC_FS181Y1,reference,0,0,0,0,65,0,0,0,0,0,0,0,0,0,1,54,61
8,GC_PS07Y1,unrestored,0,42,0,0,13,0,0,0,0,0,0,0,0,0,0,6,49
9,GC_PS0Y1,unrestored,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,312
10,GC_PS132Y1,partial_rest,7,0,0,0,183,0,0,0,1,0,0,0,0,0,2,88,895
11,GC_PS137Y1,partial_rest,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,338
12,GC_PS181Y1,restored,0,7,41,0,71,0,0,0,0,0,0,0,0,0,0,67,143
13,GC_PS195Y1,restored,0,0,0,2,82,0,0,0,0,0,0,0,0,0,3,66,187
14,GC_PS207Y1,restored,0,0,2,13,8,0,0,0,0,7,0,0,3,0,1,17,380
15,GC_PS208Y1,restored,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,41,51
16,GC_PS26Y1,unrestored,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2624
17,GC_PS54Y1,restored,0,0,0,0,103,0,0,0,0,0,0,0,0,0,24,76,93
