,Station,rest_cat,Anole,Bear,Bird,Bobcat,Deer,FoxSquirrel,GraySquirrel,Hog,MarshRabbit,Opossum,Panther,Racoon,Rodent,Turkey,Unidentified
1,GC_BM27Y1,reference,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0
2,GC_BM29Y1,reference,0,0.66,0,0,5.74,0.06,0,2.18,0,0,0,0.12,0,0,0
3,GC_BM48Y1,reference,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,GC_FP69Y1,reference,0.4,1.766666667,0,0,1.066666667,0,0.033333333,0,0,0,0,0,0,0.3,0.066666667
5,GC_FS142Y1,reference,0,0,0.020833333,0,0.666666667,0,0.041666667,0,0,0,0,0.145833333,0,0,0.208333333
6,GC_FS151Y1,reference,0,0,0.108108108,0,2.585585586,0,0.054054054,0,0,0,0.009009009,0.036036036,0,0,0.45045045
7,GC_FS181Y1,reference,0,0,0,0,1.203703704,0,0,0,0,0,0,0,0,0,0.018518519
8,GC_PS07Y1,unrestored,0,7,0,0,2.166666667,0,0,0,0,0,0,0,0,0,0
9,GC_PS0Y1,unrestored,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
10,GC_PS132Y1,partial_rest,0.079545455,0,0,0,2.079545455,0,0,0,0.011363636,0,0,0,0,0,0.022727273
11,GC_PS137Y1,partial_rest,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
12,GC_PS181Y1,restored,0,0.104477612,0.611940299,0,1.059701493,0,0,0,0,0,0,0,0,0,0
13,GC_PS195Y1,restored,0,0,0,0.03030303,1.242424242,0,0,0,0,0,0,0,0,0,0.045454545
14,GC_PS207Y1,restored,0,0,0.117647059,0.764705882,0.470588235,0,0,0,0,0.411764706,0,0,0.176470588,0,0.058823529
15,GC_PS208Y1,restored,0,0,0,0,0.341463415,0,0,0,0,0,0,0,0,0,0.048780488
16,GC_PS26Y1,unrestored,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,GC_PS54Y1,restored,0,0,0,0,1.355263158,0,0,0,0,0,0,0,0,0,0.315789474
