,Station,Restoration Status,Park,Restoration Project Area,Latitude,Longitude,Northing,Easting,NAME_SITE,NAME_STATE,LANDUSE_DE,LEVEL1_L_1,LEVEL2_L_1,LANDCOVE_1,VEGSOILS,VEG_CODE,cabbage_palm_coverage,total_snags (w&w/out cavities),avg_cc_ab,L1_coverage,L1_avg_h,L1_avg_d,L1_avggw,L2_coverage,L2_avg_h,L2_avg_d,L2_avggw,L3_coverage,L3_avg_h,L3_avg_d,L3_avggw,L4_coverage,L4_avg_h,L4_avg_d,L4_avggw,L5_coverage,L5_avg_h,L5_avg_d,L5_avggw
1,GC_BM29Y1,Reference,Picayune Strand State Forest - Belle Meade,Exterior,26.14037755,-81.62047906,239618.8206,637526.1883,Strand Swamp,Strand Swamp,6210: Cypress,Wetlands,Wetland Coniferous Forests,6210: Cypress,Swamp Forest,11,1,33,60,4,0.36,0.36,0.25,3,1.98,0.9,0.38,1,4.4,0.48,2.1,2,6,2.02,5.39,,,,
2,GC_FP69Y1,Reference,Florida Panther National Wildlife Refuge,Exterior,26.18588147,-81.45572739,244996.1767,653865.4198,Isolated Freshwater Swamp,Isolated Freshwater Swamp,6215: Cypress- Domes/Heads,Wetlands,Wetland Coniferous Forests,6215: Cypress- Domes/Heads,Swamp Forest,11,1,1,2.98,4,0.46,0.46,0.11,1,2.41,-0.22,5.87,1,4.57,1.87,11.71,4,7.18,3.5,0.4,,,,
3,GC_FS142Y1,Reference,Fakahatchee Strand Preserve State Park,Exterior,26.04172755,-81.42772903,229059.6632,656992.3543,Cypress/Tupelo(incl Cy/Tu mixed),Cypress/Tupelo(incl Cy/Tu mixed),6216: Cypress - Mixed Hardwoods,Wetlands,Wetland Coniferous Forests,6216: Cypress - Mixed Hardwoods,Swamp Forest,11,1,2,0.8,2,1.04,1.04,1.71,,,,,1,5.58,1.6,4.14,4,8.24,4.07,0.83,,,,
4,GC_FS151Y1,Reference,Fakahatchee Strand Preserve State Park,Exterior,26.007467,-81.408361,225299.0639,659007.0039,Cypress/Tupelo(incl Cy/Tu mixed),Cypress/Tupelo(incl Cy/Tu mixed),6216: Cypress - Mixed Hardwoods,Wetlands,Wetland Coniferous Forests,6216: Cypress - Mixed Hardwoods,Swamp Forest,11,1,0,0.18,2,1.06,1.06,1.39,,3.6,1.72,1.63,,,,,,6.86,2.43,0.56,,8.56,3.81,9
5,GC_FS181Y1,Reference,Fakahatchee Strand Preserve State Park,Exterior,25.98123926,-81.42894903,222346.1447,657010.424,Cypress,Cypress,6210: Cypress,Wetlands,Wetland Coniferous Forests,6210: Cypress,Swamp Forest,11,1,1,1.78,3,1.32,1.32,0.14,1,3.92,1.32,2.86,,,,,4,7.42,3.66,0.46,,,,
6,GC_PS07Y1,No hydrologic restoration,Picayune Strand State Forest,Interior,26.146942,-81.50115,240582.8082,649421.3821,Wet Flatwoods,Wet Flatwoods,6170: Mixed Wetland Hardwoods,Wetlands,Wetland Hardwood Forests,6170: Mixed Wetland Hardwoods,Cypress,2,3,1,22.38,1,9.32,9.32,,3,6.72,2.42,,,,,,4,7.24,4.2,5.4,4,1.1,0,1
7,GC_PS0Y1,No hydrologic restoration,Picayune Strand State Forest,Interior,26.03816798,-81.52800567,228459.8194,646983.1286,Strand Swamp,Strand Swamp,6172: Mixed Shrubs,Wetlands,Wetland Hardwood Forests,6172: Mixed Shrubs,Hydric Flatwood,4,2,0,34.2,4,1.12,1.12,,2,2.36,1.02,,,,,,,,,,2,5.4,2.24,
8,GC_PS127Y1,Partial hydrologic restoration,Picayune Strand State Forest,Interior,26.09871689,-81.50639741,235221.3293,649005.9038,Strand Swamp,Strand Swamp,6172: Mixed Shrubs,Wetlands,Wetland Hardwood Forests,6172: Mixed Shrubs,Hydric Flatwood,4,3,0,37.6,4,0.91,0.91,0.5,1,2.2,1.66,10,,,,,3,5.06,2.06,5,1,5.5,2.4,20
9,GC_PS130Y1,Partial hydrologic restoration,Picayune Strand State Forest,Interior,26.01910044,-81.50999218,226380.4954,648825.381,Strand Swamp,Strand Swamp,6172: Mixed Shrubs,Wetlands,Wetland Hardwood Forests,6172: Mixed Shrubs,Hydric Flatwood,4,3,0,46.33,4,0.72,0.72,0.27,,,,,,,0,,,4,0.9,4.5,,5.08,1.85,16.34
10,GC_PS131Y1,Partial hydrologic restoration,Picayune Strand State Forest,Interior,25.99773645,-81.50018144,224030.0434,649853.6872,Strand Swamp,Strand Swamp,6210: Cypress,Wetlands,Wetland Coniferous Forests,6210: Cypress,Swamp Forest,11,1,20,5.9,4,1.2,1.2,0.08,,3,0,0.34,,,,,2,5.14,1.28,4,2,7.56,2.88,3
