site#,site,veg_comm,rest_status,cond_rs,gps_northing,gps_easting,cabbage_palm_coverage,total_snags (w&w/out cavities),avg_cc_ab,L1_coverage,L1_avg_h,L1_avg_d,L1_avggw,L2_coverage,L2_avg_h,L2_avg_d,L2_avggw,L3_coverage,L3_avg_h,L3_avg_d,L3_avggw,L4_coverage,L4_avg_h,L4_avg_d,L4_avggw,L5_coverage,L5_avg_h,L5_avg_d,L5_avggw
1,BM17,exotic_dom_forest,reference_BM,reference,26.07612,-81.60572,1,12,71.18,4,0.8,0.8,0.05,2,,0.65,1.73,1,4.64,0.78,12.13,1,7.08,1.5,6.44,,,,
2,BM27,pine_flatwoods,reference_BM,reference,26.14672,-81.59124,4,12,78.65,,0.3,0.3,0.01,3,2.1,0.84,2.14,,,,,1,4.26,1.36,15.25,,7.06,0,15.5
3,BM29,mixed_forest,reference_BM,reference,26.14038,-81.62048,1,33,60,4,0.36,0.36,0.25,3,1.98,0.9,0.38,1,4.4,0.48,2.1,2,6,2.02,5.39,,,,
4,BM43,mixed_forest,unrestored,reference,26.04633,-81.57561,1,28,78.6,4,0.52,0.52,,4,2.12,0,,,,,,1,4.92,1.6,,1,6.54,2.66,
5,BM44,pine_flatwoods,reference_BM,reference,26.13727,-81.60201,3,10,45.15,2,0.64,0.64,0.25,3,1.92,0.88,2.09,1,3.22,0.32,8.14,1,5.4,2.2,7.29,1,8.28,4.93,11.14
6,BM48,shrubland,reference_BM,reference,26.10073,-81.60487,3,0,88.58,,0.8,0.8,0.05,4,2.64,0.92,0.19,1,3.48,0.34,3.83,1,5.9,2.7,13.17,,,,
7,BM50,mixed_forest,reference_Col,reference,26.00663,-81.58414,1,0,31.6,4,1.16,1.16,0.05,4,2.66,0.92,1.54,1,5.43,0.43,7.24,2,7.43,2.5,12,1,8.28,3.72,5.63
8,BM58,exotic_dom_forest,reference_BM,reference,26.11421,-81.60791,2,44,87.98,1,0.98,0.98,1.1,1,1.74,0.54,2.04,,,,,,,,,2,4.5,1.79,12.96
9,CS186,mangrove,reference_Col,reference,25.97998,-81.57948,0,0,86.93,1,3.56,3.56,4.15,,,,,,,,,,,,,,,,
10,CS189,pine_flatwoods,reference_Col,reference,25.99289,-81.5854,3,20,34.9,4,0.94,0.94,0.21,2,2.58,1,1.84,,,,,2,6.15,3.32,0.97,1,,0,23.6
